Tiempo,Temperatura
4.491080915927886963e+02,6.377913046455385171e+01
4.501449904441833496e+02,6.381762943046228997e+01
4.511819353103637695e+02,6.384841600925199145e+01
4.522254681587219238e+02,6.387149860088577924e+01
4.532662615776062012e+02,6.388688350032887797e+01
4.543024544715881348e+02,6.390995560892917382e+01
4.553386514186859131e+02,6.392533352206376662e+01
4.563748369216918945e+02,6.394070864200734405e+01
4.574110441207885742e+02,6.394839515477030290e+01
4.584495153427124023e+02,6.396376608635404892e+01
4.594901294708251953e+02,6.397913422664863248e+01
4.605297482013702393e+02,6.401012512671537991e+01
4.615659322738647461e+02,6.403377810051132712e+01
4.626021103858947754e+02,6.406530538161356958e+01
4.636382975578308105e+02,6.410469839253579494e+01
4.646744787693023682e+02,6.414407353652636345e+01
4.657106938362121582e+02,6.417556079569502003e+01
4.667533817291259766e+02,6.423063602157849061e+01
4.677960104942321777e+02,6.426209188838024033e+01
4.688387250900268555e+02,6.430139568606125522e+01
4.698813631534576416e+02,6.434853674005617563e+01
4.709239752292633057e+02,6.437209765819631002e+01
4.719668486118316650e+02,6.438780137989341767e+01
4.730094413757324219e+02,6.441135162877758091e+01
4.740521411895751953e+02,6.442704824005312503e+01
4.750947897434234619e+02,6.445058782692684929e+01
4.761374359130859375e+02,6.447412102006940415e+01
4.771736335754394531e+02,6.449764782208542613e+01
4.782098002433776855e+02,6.452116823557807379e+01
4.792459776401519775e+02,6.452900695418684052e+01
4.802825226783752441e+02,6.454468226314915569e+01
4.813187017440795898e+02,6.456035473507985500e+01
4.823548786640167236e+02,6.458385812522620029e+01
4.833910760879516602e+02,6.460735513638213945e+01
4.844272475242614746e+02,6.463867456620384644e+01
4.854634537696838379e+02,6.466998266636520043e+01
4.864996604919433594e+02,6.471692358693850622e+01
4.875358359813690186e+02,6.474820338983049339e+01
4.885720407962799072e+02,6.479510189327187675e+01
4.896082096099853516e+02,6.483416455848691839e+01
4.906443865299224854e+02,6.488101646945473533e+01
4.916806046962738037e+02,6.494344620015048974e+01
4.927231941223144531e+02,6.499023891195763269e+01
4.937657384872436523e+02,6.502262673514007929e+01
4.948019149303436279e+02,6.503085931318246082e+01
4.958380856513977051e+02,6.503909114827943938e+01
4.968742587566375732e+02,6.506378219690350306e+01
4.979104380607604980e+02,6.508023918310240674e+01
4.989466941356658936e+02,6.508846656263818886e+01
4.999893999099731445e+02,6.508846656263818886e+01
5.010320963859558105e+02,6.508023918310240674e+01
5.020743963718414307e+02,6.507201106122433032e+01
5.031169569492340088e+02,6.507201106122433032e+01
5.041531395912170410e+02,6.508023918310240674e+01
5.051893150806427002e+02,6.508846656263818886e+01
5.062254867553710938e+02,6.511314424819632052e+01
5.072616658210754395e+02,6.513781525628924385e+01
5.082978730201721191e+02,6.517069955126193292e+01
5.093404994010925293e+02,6.521178824286837994e+01
5.103831696510314941e+02,6.524464586228326368e+01
5.114257781505584717e+02,6.527749163631239071e+01
5.124684464931488037e+02,6.531853220603129273e+01
5.135110492706298828e+02,6.536775648939125460e+01
5.145537798404693604e+02,6.541695417461541240e+01
5.155963909626007080e+02,6.547431788570722233e+01
5.166325914859771729e+02,6.553164545729964630e+01
5.176687738895416260e+02,6.557257161541254220e+01
5.187053601741790771e+02,6.559711847332306434e+01
5.197416200637817383e+02,6.562165870679481827e+01
5.207787032127380371e+02,6.564619231850900860e+01
5.218225533962249756e+02,6.567889350491438449e+01
5.228655719757080078e+02,6.571158293041833076e+01
5.239087009429931641e+02,6.574426060136438821e+01
5.249526915550231934e+02,6.577692652409152174e+01
5.260027453899383545e+02,6.581774241621721444e+01
5.270451173782348633e+02,6.585853997400990067e+01
5.280850059986114502e+02,6.589931920982037639e+01
5.291258919239044189e+02,6.594823012514994787e+01
5.301620988845825195e+02,6.598896909601970151e+01
5.311982924938201904e+02,6.603892830106217104e+01
5.322344851493835449e+02,6.608080674096080998e+01
5.332706606388092041e+02,6.613103607424814356e+01
5.343068594932556152e+02,6.617287320465328548e+01
5.353430528640747070e+02,6.622305300322132382e+01
5.363794991970062256e+02,6.626484888522526262e+01
5.374157049655914307e+02,6.632333165794555896e+01
5.384519329071044922e+02,6.636508261122764907e+01
5.394945726394653320e+02,6.641515907369438310e+01
5.405372002124786377e+02,6.646520863141296331e+01
5.415734028816223145e+02,6.649022332776667099e+01
5.426095924377441406e+02,6.651523130606040013e+01
5.436457777023315430e+02,6.654856483147999313e+01
5.446819410324096680e+02,6.657355714482118003e+01
5.457181565761566162e+02,6.660686979344973224e+01
5.467607750892639160e+02,6.664017052128792784e+01
5.478033576011657715e+02,6.669009927555674722e+01
5.488459379673004150e+02,6.672337022939839812e+01
5.498885314464569092e+02,6.674831563609316731e+01
5.509311687946319580e+02,6.677325435261985831e+01
5.519738624095916748e+02,6.679818638166949540e+01
5.530164616107940674e+02,6.682311172593165338e+01
5.540590665340423584e+02,6.684803038809445752e+01
5.551016459465026855e+02,6.687294237084459780e+01
5.561405725479125977e+02,6.690614796228828709e+01
5.571831877231597900e+02,6.694763826946437746e+01
5.582257311344146729e+02,6.697252356140199936e+01
5.592619097232818604e+02,6.700595238095237960e+01
5.602980892658233643e+02,6.704061774683091812e+01
5.613342440128326416e+02,6.708393205111040913e+01
5.623704011440277100e+02,6.711856958015437158e+01
5.634066097736358643e+02,6.715319474803348498e+01
5.644492940902709961e+02,6.717915551590840550e+01
5.654919121265411377e+02,6.719645883507268991e+01
5.665345456600189209e+02,6.722240802675584348e+01
5.675771369934082031e+02,6.724835027644016350e+01
5.686197736263275146e+02,6.727428558691097749e+01
5.696623477935791016e+02,6.730021396095212083e+01
5.707049324512481689e+02,6.732613540134599361e+01
5.717475161552429199e+02,6.736068654100381536e+01
5.727901132106781006e+02,6.738659181369928319e+01
5.738327193260192871e+02,6.741249016201125244e+01
5.748753056526184082e+02,6.743838158871565724e+01
5.759178915023803711e+02,6.747289272883821809e+01
5.769541008472442627e+02,6.749876801591189235e+01
5.779902849197387695e+02,6.752463639062035838e+01
5.790264968872070312e+02,6.755911680911680151e+01
5.800633311271667480e+02,6.758496906574086438e+01
5.810999281406402588e+02,6.761081441922563329e+01
5.821425750255584717e+02,6.764526415710005836e+01
5.831852190494537354e+02,6.767970163419046514e+01
5.842280778884887695e+02,6.771412685704117962e+01
5.852707796096801758e+02,6.774853983219188081e+01
5.863134100437164307e+02,6.778294056617755814e+01
5.873560638427734375e+02,6.781732906552858253e+01
5.883987138271331787e+02,6.783451872925556358e+01
5.894413349628448486e+02,6.785170533677067795e+01
5.904839067459106445e+02,6.786888888888888971e+01
5.915265500545501709e+02,6.788606938642490718e+01
5.925691230297088623e+02,6.791183440716876873e+01
5.936122345924377441e+02,6.793759255968248567e+01
5.946557815074920654e+02,6.796334384671196460e+01
5.956991035938262939e+02,6.798908827100174790e+01
5.967420783042907715e+02,6.802451795177614713e+01
5.977853362560272217e+02,6.805147153661873460e+01
5.988286976814270020e+02,6.807841794149732095e+01
5.998736026287078857e+02,6.810535716928045247e+01
6.009188590049743652e+02,6.813228922283515487e+01
6.019616675376892090e+02,6.815921410502691913e+01
6.030005021095275879e+02,6.818613181871967299e+01
6.040423023700714111e+02,6.821304236677589472e+01
6.050825843811035156e+02,6.824891195591634130e+01
6.061210927963256836e+02,6.827580579527709403e+01
6.071595721244812012e+02,6.830269247853175330e+01
6.081957616806030273e+02,6.832061295983072569e+01
6.092319452762603760e+02,6.835644438814468060e+01
6.102681643962860107e+02,6.839226310971511680e+01
6.113043401241302490e+02,6.842806913130007729e+01
6.123405542373657227e+02,6.843701865311508925e+01
6.133831002712249756e+02,6.844596738170857009e+01
6.144251959323883057e+02,6.845491531718599276e+01
6.154667980670928955e+02,6.847280880921434232e+01
6.165094628334045410e+02,6.847280880921434232e+01
6.175520911216735840e+02,6.849069913004339583e+01
